,Year,Player,Pos,Age,G,PER,MPG,PPG,APG,RPG,TOPG,BPG,SPG,salary17_18
94,2017.0,Seth Curry,PG,26.0,70.0,15.5,28.985714285714284,12.82857142857143,2.6857142857142855,2.5428571428571427,1.3142857142857143,0.1,1.1285714285714286,3.02841
95,2017.0,Stephen Curry,PG,28.0,79.0,24.6,33.392405063291136,25.303797468354432,6.620253164556962,4.468354430379747,3.0253164556962027,0.21518987341772153,1.8101265822784811,34.68255
96,2017.0,Troy Daniels,SG,25.0,67.0,10.4,17.65671641791045,8.223880597014926,0.6865671641791045,1.492537313432836,0.6716417910447762,0.05970149253731343,0.31343283582089554,3.40852
97,2017.0,Anthony Davis,C,23.0,75.0,27.5,36.10666666666667,27.986666666666668,2.0933333333333333,11.813333333333333,2.4133333333333336,2.2266666666666666,1.2533333333333334,23.775506
98,2017.0,Deyonta Davis,C,20.0,36.0,10.6,6.611111111111111,1.6111111111111112,0.05555555555555555,1.6666666666666667,0.2222222222222222,0.4722222222222222,0.08333333333333333,1.312611
99,2017.0,Ed Davis,PF,27.0,46.0,11.5,17.152173913043477,4.3478260869565215,0.5869565217391305,5.282608695652174,0.8043478260869565,0.4782608695652174,0.32608695652173914,6.352531
100,2017.0,Dewayne Dedmon,C,27.0,76.0,16.0,17.5,5.092105263157895,0.5789473684210527,6.5131578947368425,0.8026315789473685,0.8026315789473685,0.4868421052631579,6.0
101,2017.0,Sam Dekker,SF,22.0,77.0,13.0,18.428571428571427,6.545454545454546,0.987012987012987,3.688311688311688,0.5324675324675324,0.2727272727272727,0.4935064935064935,1.7946
102,2017.0,Malcolm Delaney,PG,27.0,73.0,7.5,17.095890410958905,5.3561643835616435,2.643835616438356,1.6986301369863013,1.3013698630136987,0.0136986301369863,0.5342465753424658,2.5
103,2017.0,Matthew Dellavedova,PG,26.0,76.0,9.4,26.13157894736842,7.592105263157895,4.697368421052632,1.9342105263157894,1.75,0.0,0.6973684210526315,9.6075
104,2017.0,Luol Deng,SF,31.0,56.0,10.1,26.535714285714285,7.589285714285714,1.3214285714285714,5.267857142857143,0.7678571428571429,0.35714285714285715,0.8571428571428571,17.19
105,2017.0,DeMar DeRozan,SG,27.0,74.0,24.0,35.4054054054054,27.2972972972973,3.918918918918919,5.216216216216216,2.4324324324324325,0.17567567567567569,1.054054054054054,27.739975
106,2017.0,Cheick Diallo,PF,20.0,17.0,16.8,11.705882352941176,5.117647058823529,0.23529411764705882,4.294117647058823,0.4117647058823529,0.4117647058823529,0.23529411764705882,1.312611
107,2017.0,Gorgui Dieng,PF,27.0,82.0,14.2,32.353658536585364,9.951219512195122,1.9268292682926829,7.890243902439025,1.3048780487804879,1.1585365853658536,1.0731707317073171,14.11236
108,2017.0,Spencer Dinwiddie,PG,23.0,59.0,12.7,22.610169491525422,7.322033898305085,3.135593220338983,2.7796610169491527,1.11864406779661,0.3898305084745763,0.7457627118644068,1.524305
